"tick","run","Human Count","Zombie Count"
1.0,1,200,5
2.0,1,200,5
3.0,1,199,6
4.0,1,199,6
5.0,1,199,6
6.0,1,199,6
7.0,1,199,6
8.0,1,198,7
9.0,1,198,7
10.0,1,198,7
11.0,1,197,8
12.0,1,197,8
13.0,1,197,8
14.0,1,197,8
15.0,1,197,8
16.0,1,197,8
17.0,1,197,8
18.0,1,197,8
19.0,1,197,8
20.0,1,197,8
21.0,1,197,8
22.0,1,197,8
23.0,1,197,8
24.0,1,197,8
25.0,1,197,8
26.0,1,197,8
27.0,1,197,8
28.0,1,197,8
29.0,1,197,8
30.0,1,197,8
31.0,1,197,8
32.0,1,197,8
33.0,1,197,8
34.0,1,197,8
35.0,1,197,8
36.0,1,197,8
37.0,1,197,8
38.0,1,197,8
39.0,1,197,8
40.0,1,196,9
41.0,1,196,9
42.0,1,196,9
43.0,1,196,9
44.0,1,196,9
45.0,1,196,9
46.0,1,196,9
47.0,1,196,9
48.0,1,196,9
49.0,1,196,9
50.0,1,195,10
51.0,1,195,10
52.0,1,195,10
53.0,1,195,10
54.0,1,195,10
55.0,1,195,10
56.0,1,195,10
57.0,1,195,10
58.0,1,195,10
59.0,1,195,10
60.0,1,195,10
61.0,1,195,10
62.0,1,195,10
63.0,1,195,10
64.0,1,194,11
65.0,1,194,11
66.0,1,194,11
67.0,1,194,11
68.0,1,194,11
69.0,1,194,11
70.0,1,194,11
71.0,1,194,11
72.0,1,194,11
73.0,1,192,13
74.0,1,192,13
75.0,1,192,13
76.0,1,192,13
77.0,1,192,13
78.0,1,192,13
79.0,1,192,13
80.0,1,192,13
81.0,1,192,13
82.0,1,192,13
83.0,1,192,13
84.0,1,192,13
85.0,1,191,14
86.0,1,191,14
87.0,1,190,15
88.0,1,190,15
89.0,1,189,16
90.0,1,189,16
91.0,1,189,16
92.0,1,189,16
93.0,1,189,16
94.0,1,189,16
95.0,1,189,16
96.0,1,187,18
97.0,1,186,19
98.0,1,185,20
99.0,1,185,20
100.0,1,185,20
101.0,1,185,20
